gradrat,lenroll,rmbrd,private,stufac,csat,act
79.0,6.1246833909000005,4.2,1.0,10.5,.,.
86.0,4.8283137373,.,1.0,11.3,890.0,.
95.0,6.490723534500001,.,1.0,11.3,1200.0,.
58.0,5.6454468976,5.45,1.0,8.7,810.0,.
70.0,5.2983173665,.,1.0,17.3,980.0,.
62.0,6.1984787164999995,7.782,1.0,18.0,1020.0,.
.,5.765191102799999,.,1.0,12.3,782.0,.
66.0,5.6419070709,4.07,1.0,14.2,992.0,.
100.0,7.3815018945,6.41,1.0,9.9,.,.
.,5.1416635565,.,1.0,9.1,800.0,.
58.0,4.4067192473,5.3,1.0,27.8,846.0,.
53.0,6.9966814882,4.164,0.0,16.1,951.0,.
94.0,6.9828627515,5.975,1.0,10.1,1381.0,31.0
51.0,6.9697906699,3.991,0.0,17.1,923.0,.
57.0,6.3578422665,4.03,0.0,14.7,891.0,.
.,6.3733197896,3.366,0.0,21.2,911.0,.
57.0,5.480638923300001,4.33,0.0,14.2,897.0,.
45.0,7.1959372265,3.514,0.0,21.0,802.0,.
65.0,6.7153833863,3.7880000000000003,0.0,15.7,880.0,.
40.0,6.2971093199,3.9,0.0,21.0,832.0,.
84.0,6.2653012127,5.7,1.0,9.0,1120.0,27.0
77.0,6.6783421147,.,1.0,13.5,.,.
.,5.3844950628,5.624,1.0,27.7,814.0,.
46.0,7.8308229951,7.425,1.0,12.9,998.0,23.0
67.0,4.8283137373,6.48,1.0,8.9,764.0,20.0
84.0,4.962844630299999,.,1.0,10.3,881.0,.
79.0,5.6869753563,.,1.0,8.9,940.0,24.0
90.0,6.4488893941,.,1.0,10.3,.,.
56.0,6.913737350700001,.,0.0,15.0,905.0,.
76.0,6.251903883200001,4.3,1.0,12.8,900.0,.
97.0,6.3716118472000005,.,1.0,13.0,1010.0,.
60.0,5.8749307309,.,1.0,13.3,854.0,.
92.0,7.0942348459,5.968,1.0,10.3,.,.
68.0,8.2469580326,3.897,0.0,16.7,.,.
41.0,6.6846117277,.,0.0,14.5,895.0,.
91.0,6.3613024776,5.995,1.0,10.6,1230.0,.
59.0,6.013715156,.,1.0,15.4,837.0,.
71.0,6.0330862218,5.97,1.0,13.2,1080.0,24.0
74.0,5.081404365,.,1.0,9.6,853.0,.
99.0,6.2653012127,5.79,1.0,9.0,.,.
82.0,6.525029657799999,5.37,1.0,15.2,1200.0,28.0
62.0,5.733341276900001,5.475,1.0,11.4,1111.0,.
84.0,4.8828019226,5.62,1.0,8.2,1171.0,.
64.0,6.1136821798000005,.,1.0,15.4,850.0,.
52.0,3.5553480614999997,.,1.0,12.1,880.0,.
17.0,6.008813185399999,4.075,0.0,22.0,741.0,.
75.0,5.1761497326,.,1.0,11.5,970.0,.
63.0,4.6151205168,3.45,1.0,13.9,.,.
.,5.9427993751,.,0.0,16.3,763.0,18.0
54.0,6.8145428973,4.39,0.0,17.8,902.0,.
77.0,5.5134287462,6.1739999999999995,1.0,9.2,1111.0,.
72.0,5.170483995,.,1.0,14.4,994.0,24.0
90.0,6.8145428973,6.74,1.0,3.3,1292.0,30.0
80.0,6.6039438246,.,1.0,14.7,1070.0,.
29.0,7.2137683081,.,0.0,18.2,871.0,.
80.0,5.7930136084,6.2,1.0,12.8,970.0,.
56.0,6.6012301187,4.69,0.0,17.9,1045.0,22.0
